Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
346,Houston Baptist,Slnd,0-0,-20.66,92.1,112.8,76.1,,,,,,,
273,Howard,MEAC,0-0,-8.82,97.4,106.2,73.4,,,,,,,
353,Idaho,BSky,0-0,-23.62,88.7,112.3,71.6,,,,,,,
188,Idaho St.,BSky,0-0,-2.05,98,100,69.8,,,,,,,
5,Illinois,B10,0-0,24.96,112.1,87.2,73.8,,,,,,,
265,Illinois Chicago,Horz,0-0,-7.96,95.9,103.8,72.3,,,,,,,
202,Illinois St.,MVC,0-0,-3.4,97.1,100.5,72.4,,,,,,,
352,Incarnate Word,Slnd,0-0,-23.16,89.4,112.6,69.7,,,,,,,
31,Indiana,B10,0-0,17.91,108.2,90.3,71.7,,,,,,,
187,Indiana St.,MVC,0-0,-1.97,99.2,101.2,72,,,,,,,
162,Iona,MAAC,0-0,0.14,98.5,98.3,72,,,,,,,
23,Iowa,B10,0-0,18.71,112.2,93.5,73.8,,,,,,,
113,Iowa St.,B12,0-0,5.73,101.3,95.6,71.9,,,,,,,
337,IUPUI,Horz,0-0,-17.41,90.8,108.2,73.7,,,,,,,
295,Jackson St.,SWAC,0-0,-10.78,88.1,98.9,71.7,,,,,,,
282,Jacksonville,ASun,0-0,-9.81,94.6,104.4,72.2,,,,,,,
136,Jacksonville St.,ASun,0-0,3.53,103.1,99.5,70.5,,,,,,,
182,James Madison,CAA,0-0,-1.54,100.5,102.1,74.9,,,,,,,
3,Kansas,B12,0-0,26.27,114.4,88.1,72.5,,,,,,,
82,Kansas St.,B12,0-0,10.34,104.9,94.6,70.1,,,,,,,
293,Kennesaw St.,ASun,0-0,-10.6,93.1,103.7,72.9,,,,,,,
143,Kent St.,MAC,0-0,2.92,101.8,98.9,73.2,,,,,,,
17,Kentucky,SEC,0-0,20.86,111.5,90.6,72.3,,,,,,,
197,La Salle,A10,0-0,-2.81,98.7,101.5,72.7,,,,,,,
292,Lafayette,Pat,0-0,-10.53,96.1,106.6,72.6,,,,,,,
276,Lamar,WAC,0-0,-8.92,95.1,104,73.3,,,,,,,
275,Lehigh,Pat,0-0,-8.86,96.1,104.9,73.8,,,,,,,
97,Liberty,ASun,0-0,8.39,104.7,96.4,67.9,,,,,,,
219,Lipscomb,ASun,0-0,-4.57,100,104.6,71.1,,,,,,,
298,Little Rock,SB,0-0,-11.54,93.8,105.4,72,,,,,,,
259,LIU,NEC,0-0,-7.32,94.4,101.8,76.2,,,,,,,
294,Long Beach St.,BW,0-0,-10.71,93.3,104,76,,,,,,,
249,Longwood,BSth,0-0,-6.57,94.6,101.1,70.4,,,,,,,
177,Louisiana,SB,0-0,-1.13,99,100.1,74.7,,,,,,,
252,Louisiana Monroe,SB,0-0,-6.72,95.7,102.4,71,,,,,,,
88,Louisiana Tech,CUSA,0-0,9.46,104.4,94.9,72.6,,,,,,,
36,Louisville,ACC,0-0,16.83,107.8,90.9,70.9,,,,,,,
32,Loyola Chicago,MVC,0-0,17.61,109.3,91.6,71,,,,,,,
69,Loyola Marymount,WCC,0-0,12.47,107.9,95.4,70.7,,,,,,,
286,Loyola MD,Pat,0-0,-10.12,94.4,104.5,72.8,,,,,,,
43,LSU,SEC,0-0,15.86,109.8,93.9,73.9,,,,,,,
333,Maine,AE,0-0,-16.87,86.7,103.5,69.5,,,,,,,
257,Manhattan,MAAC,0-0,-7.08,92.7,99.8,70.9,,,,,,,
264,Marist,MAAC,0-0,-7.95,92.9,100.9,69.8,,,,,,,
87,Marquette,BE,0-0,9.81,104,94.2,71.7,,,,,,,
111,Marshall,CUSA,0-0,5.81,105.1,99.3,76.6,,,,,,,
18,Maryland,B10,0-0,20.68,110.4,89.8,70,,,,,,,
355,Maryland Eastern Shore,MEAC,0-0,-27.79,81.2,109,71.9,,,,,,,
107,Massachusetts,A10,0-0,6.07,102.5,96.5,73.8,,,,,,,
328,McNeese St.,Slnd,0-0,-15.98,90.5,106.5,72.5,,,,,,,
16,Memphis,Amer,0-0,20.92,108.5,87.6,75.2,,,,,,,
178,Mercer,SC,0-0,-1.2,101.1,102.3,72.4,,,,,,,
210,Merrimack,NEC,0-0,-3.91,95.4,99.3,70.3,,,,,,,
83,Miami FL,ACC,0-0,10.25,105.9,95.6,71.6,,,,,,,
137,Miami OH,MAC,0-0,3.33,104.4,101,70.6,,,,,,,
2,Michigan,B10,0-0,28.27,114.8,86.5,71.5,,,,,,,
22,Michigan St.,B10,0-0,18.8,108.1,89.3,72.1,,,,,,,
272,Middle Tennessee,CUSA,0-0,-8.55,94.9,103.4,73,,,,,,,
119,Milwaukee,Horz,0-0,5.32,103.3,98,72.9,,,,,,,
120,Minnesota,B10,0-0,5.31,101.6,96.3,73,,,,,,,
57,Mississippi,SEC,0-0,13.79,103.9,90.1,70.2,,,,,,,
65,Mississippi St.,SEC,0-0,12.75,107.5,94.7,70.8,,,,,,,
358,Mississippi Valley St.,SWAC,0-0,-36.7,79.8,116.5,75.6,,,,,,,
96,Missouri,SEC,0-0,8.41,104.6,96.2,71.7,,,,,,,
66,Missouri St.,MVC,0-0,12.52,108.4,95.9,72.3,,,,,,,
233,Monmouth,MAAC,0-0,-5.65,94.5,100.2,76.2,,,,,,,
148,Montana,BSky,0-0,1.75,101.5,99.8,70.7,,,,,,,
176,Montana St.,BSky,0-0,-1.11,100.1,101.2,72.1,,,,,,,
161,Morehead St.,OVC,0-0,0.23,99.5,99.3,70.6,,,,,,,
256,Morgan St.,MEAC,0-0,-6.94,96.8,103.7,74.3,,,,,,,
280,Mount St. Mary's,NEC,0-0,-9.61,92.9,102.5,67.9,,,,,,,
128,Murray St.,OVC,0-0,4.58,103,98.4,71.3,,,,,,,
56,N.C. State,ACC,0-0,13.89,106.5,92.6,72.7,,,,,,,
189,Navy,Pat,0-0,-2.14,98,100.1,70.1,,,,,,,
81,Nebraska,B10,0-0,10.42,105,94.6,75.5,,,,,,,
320,Nebraska Omaha,Sum,0-0,-14.7,92.1,106.8,74.2,,,,,,,
49,Nevada,MWC,0-0,15.06,109.9,94.8,74.1,,,,,,,
225,New Hampshire,AE,0-0,-5.02,95.9,100.9,70.8,,,,,,,
287,New Mexico,MWC,0-0,-10.15,93,103.1,72.3,,,,,,,
109,New Mexico St.,WAC,0-0,6,103.1,97.1,69.8,,,,,,,
321,New Orleans,Slnd,0-0,-14.77,93.8,108.5,74.4,,,,,,,
226,Niagara,MAAC,0-0,-5.07,97.3,102.4,69.7,,,,,,,
227,Nicholls St.,Slnd,0-0,-5.14,97.9,103,74.3,,,,,,,
289,NJIT,AE,0-0,-10.36,92.7,103.1,72,,,,,,,
306,Norfolk St.,MEAC,0-0,-12.18,92.1,104.3,72,,,,,,,
299,North Alabama,ASun,0-0,-11.62,93.4,105.1,73.9,,,,,,,
40,North Carolina,ACC,0-0,16.07,110.2,94.1,73.5,,,,,,,
246,North Carolina A&T,BSth,0-0,-6.48,95.1,101.6,74.7,,,,,,,
343,North Carolina Central,MEAC,0-0,-20.01,88,108,70.4,,,,,,,
316,North Dakota,Sum,0-0,-14.2,94.5,108.7,71.8,,,,,,,
125,North Dakota St.,Sum,0-0,4.74,103.9,99.1,69.7,,,,,,,
235,North Florida,ASun,0-0,-5.77,101.3,107.1,72.2,,,,,,,
135,North Texas,CUSA,0-0,3.83,99.7,95.8,68.7,,,,,,,
158,Northeastern,CAA,0-0,0.49,99.8,99.3,71.1,,,,,,,
327,Northern Arizona,BSky,0-0,-15.75,91.2,106.9,69.5,,,,,,,
199,Northern Colorado,BSky,0-0,-2.93,101,103.9,72,,,,,,,
324,Northern Illinois,MAC,0-0,-15.21,91.6,106.8,71.5,,,,,,,
110,Northern Iowa,MVC,0-0,6,104,98,71.5,,,,,,,
129,Northern Kentucky,Horz,0-0,4.53,104.4,99.9,70.2,,,,,,,
48,Northwestern,B10,0-0,15.17,107.4,92.2,71.6,,,,,,,
331,Northwestern St.,Slnd,0-0,-16.46,92.1,108.5,74.3,,,,,,,
27,Notre Dame,ACC,0-0,18.17,114,95.8,71.2,,,,,,,
193,Oakland,Horz,0-0,-2.56,100.2,102.7,73.3,,,,,,,
115,Ohio,MAC,0-0,5.6,104.8,99.2,72.7,,,,,,,
8,Ohio St.,B10,0-0,22.97,113.1,90.1,70.9,,,,,,,
52,Oklahoma,B12,0-0,14.43,105.8,91.4,69.4,,,,,,,
37,Oklahoma St.,B12,0-0,16.79,107.4,90.6,74.4,,,,,,,
132,Old Dominion,CUSA,0-0,4.38,100.3,95.9,70.7,,,,,,,
157,Oral Roberts,Sum,0-0,0.54,103.4,102.9,73.9,,,,,,,
29,Oregon,P12,0-0,18.13,111.5,93.3,71.1,,,,,,,
73,Oregon St.,P12,0-0,12.2,108,95.8,70,,,,,,,
127,Pacific,WCC,0-0,4.64,101.7,97.1,69.3,,,,,,,
215,Penn,Ivy,0-0,-4.22,100.7,104.9,72.8,,,,,,,
70,Penn St.,B10,0-0,12.46,107.1,94.6,72.7,,,,,,,
147,Pepperdine,WCC,0-0,1.96,102.3,100.4,75.2,,,,,,,
145,Pittsburgh,ACC,0-0,2.8,100.6,97.8,71.9,,,,,,,
330,Portland,WCC,0-0,-16.33,92.6,108.9,74.5,,,,,,,
223,Portland St.,BSky,0-0,-4.89,97,101.9,72.8,,,,,,,
224,Prairie View A&M,SWAC,0-0,-4.92,95.9,100.8,73.3,,,,,,,
266,Presbyterian,BSth,0-0,-8.12,95.9,104,70.6,,,,,,,
164,Princeton,Ivy,0-0,-0.04,102.1,102.2,70.7,,,,,,,
85,Providence,BE,0-0,10.08,104.8,94.7,71,,,,,,,
6,Purdue,B10,0-0,24.89,115,90.1,70.7,,,,,,,
239,Purdue Fort Wayne,Horz,0-0,-5.91,100.1,106,73.7,,,,,,,
240,Quinnipiac,MAAC,0-0,-6.03,95.8,101.8,74.1,,,,,,,
258,Radford,BSth,0-0,-7.22,95.8,103,70.9,,,,,,,
100,Rhode Island,A10,0-0,8.18,103.7,95.5,73,,,,,,,
144,Rice,CUSA,0-0,2.9,106.1,103.2,73.1,,,,,,,
64,Richmond,A10,0-0,13.02,107.5,94.4,72.2,,,,,,,
234,Rider,MAAC,0-0,-5.66,98.2,103.9,73.2,,,,,,,
284,Robert Morris,Horz,0-0,-9.86,96.4,106.3,71.6,,,,,,,
67,Rutgers,B10,0-0,12.47,105,92.5,71.5,,,,,,,
300,Sacramento St.,BSky,0-0,-11.88,95,106.9,70,,,,,,,
261,Sacred Heart,NEC,0-0,-7.55,98.1,105.7,71.7,,,,,,,
