Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT
318,SIU Edwardsville,OVC,0-2,-14.49,90.9,105.4,72.3
319,North Dakota,Sum,0-1,-14.53,93.5,108.1,70.8
320,New Orleans,Slnd,0-1,-14.55,93.6,108.1,73.4
,,,,,,,
321,Binghamton,AE,0-1,-14.58,91.8,106.3,72.2
322,Northern Arizona,BSky,0-2,-14.6,91.3,105.9,69.5
323,St.,NEC,0-1,-14.62,92.8,107.4,74.0
324,Nebraska Omaha,Sum,1-0,-14.65,91.8,106.5,73.1
325,Northwestern St.,Slnd,0-2,-14.96,93.1,108.0,73.3
326,Alabama A,SWAC,1-0,-15.33,88.6,104.0,70.4
327,Grambling St.,SWAC,0-2,-15.38,89.7,105.0,72.5
328,Portland,WCC,1-1,-15.64,92.0,107.7,73.6
329,Holy Cross,Pat,1-1,-15.76,93.6,109.4,71.7
330,Fairleigh Dickinson,NEC,0-1,-15.88,94.4,110.3,73.5
331,McNeese St.,Slnd,0-2,-15.99,89.3,105.3,74.4
332,San Jose,MWC,1-0,-16.09,92.3,108.3,69.8
333,Alcorn St.,SWAC,0-2,-16.71,89.1,105.8,71.8
334,USC Upstate,BSth,0-2,-16.73,89.7,106.4,72.2
335,IUPUI,Horz,0-2,-16.87,89.2,106.1,69.7
336,Maine,AE,1-1,-17.19,86.2,103.4,68.8
337,Charleston Southern,BSth,1-1,-17.48,90.1,107.6,73.3
338,Central Arkansas,ASun,0-2,-17.75,91.9,109.6,73.5
339,Columbia,Ivy,0-2,-18.13,91.9,110.1,70.2
340,Eastern Illinois,OVC,0-2,-18.15,90.4,108.5,70.7
341,Alabama St.,SWAC,0-2,-18.52,85.1,103.6,75.0
342,St.,Sum,0-1,-18.59,93.5,112.1,69.5
343,North Carolina,MEAC,0-1,-18.7,88.0,106.7,69.7
344,Texas A,Slnd,1-0,-20.17,87.9,108.0,71.8
345,Denver,Sum,1-1,-20.35,88.1,108.5,72.2
346,Houston Baptist,Slnd,0-1,-21.09,91.8,112.9,73.3
347,Tennessee Martin,OVC,0-1,-21.39,89.7,111.1,73.8
348,Central Connecticut,NEC,0-1,-21.48,89.6,111.1,72.4
349,Delaware St.,MEAC,1-1,-21.95,88.8,110.8,73.0
350,South Carolina,MEAC,0-3,-22.5,85.8,108.3,75.2
351,Coppin St.,MEAC,0-3,-23.09,86.9,110.0,75.9
352,Incarnate Word,Slnd,0-2,-23.35,89.5,112.8,68.7
353,Idaho,BSky,1-1,-23.45,89.0,112.5,70.9
354,Maryland Eastern,MEAC,0-2,-25.84,81.7,107.5,70.1
355,Bethune Cookman,SWAC,0-2,-26.48,86.5,113.0,69.4
356,Arkansas Pine,SWAC,0-2,-26.91,83.6,110.5,72.4
357,Chicago St.,WAC,2-0,-27.85,85.1,112.9,69.3
358,Mississippi Valley,SWAC,0-1,-36.3,80.7,117.0,75.2
